支付方式,一级类目,订单数
支付宝付款码,美容彩妆,4603
支付宝付款码,环球美食,3157
微信付款码,美容彩妆,2838
支付宝付款码,个人洗护,1554
微信付款码,环球美食,1552
支付宝付款码,虚拟商品,1222
支付宝付款码,母婴,1093
支付宝付款码,家居生活,944
微信付款码,个人洗护,834
微信付款码,虚拟商品,687
支付宝付款码,数码家电,615
微信付款码,母婴,594
微信付款码,家居生活,478
微信付款码,数码家电,355
现金,美容彩妆,269
现金,虚拟商品,191
支付宝付款码,箱包,121
现金,个人洗护,100
现金,数码家电,90
现金,母婴,83
支付宝付款码,运动户外,74
微信付款码,运动户外,64
现金,环球美食,62
微信付款码,箱包,59
现金,家居生活,53
微信付款码,服装鞋靴,43
支付宝付款码,服装鞋靴,42
支付宝付款码,手表配饰,23
微信付款码,手表配饰,16
现金,服装鞋靴,6
现金,运动户外,4
支付宝,环球美食,2
现金,箱包,2
支付宝付款码,医药健康,1
现金,医药健康,1
现金,手表配饰,1
微信,美容彩妆,1
微信,个人洗护,1
